"","unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_mt_percent","non_ribo_percent","outliers","cell_line","cell_line_demuxlet","demuxlet_cls"
"CELL_000203",16752,1830,41310,14947,1048,0,890,4834,13156,0.864168439598534,0.910762457614429,"FALSE","H1975","H1975","DBL"
"CELL_000205",17479,1904,41262,12592,1094,0,1908,4590,13173,0.872542320752644,0.904425032699436,"FALSE","H1975","H1975","DBL"
"CELL_000206",15765,1580,39746,13618,1139,0,1404,4442,12611,0.835778288132758,0.901196652766115,"FALSE","H1975","H1975","SNG"
"CELL_000207",17140,1401,41695,11186,1250,0,1437,4433,13482,0.831701527346313,0.883399433763957,"FALSE","HCC827","HCC827","SNG"
"CELL_000208",13726,1650,34329,21430,676,0,1239,3977,10220,0.854109588205372,0.924363087707351,"FALSE","H2228","H2228","SNG"
"CELL_000210",15410,1963,36810,16862,940,0,2878,4366,11331,0.887035565363132,0.930720209407634,"FALSE","H1975","H1975","DBL"
"CELL_000211",17373,1461,42688,9088,1275,0,1209,4231,14166,0.84279260140986,0.877875986251598,"FALSE","HCC827","HCC827","SNG"
"CELL_000213",16434,1235,40473,10878,1123,0,1580,4415,12639,0.843658516620256,0.907033066672152,"FALSE","H1975","H1975","SNG"
"CELL_000214",17209,1103,46155,4273,1476,0,1090,4637,14885,0.838696673941084,0.880483116907547,"FALSE","H1975","H1975","SNG"
"CELL_000216",16203,1496,40638,9407,1176,0,1191,4201,12835,0.857187377594712,0.894740245625052,"FALSE","H2228","H2228","SNG"
"CELL_000217",15158,1395,33825,17470,905,0,812,4108,10914,0.866868241829881,0.914146129607724,"FALSE","H2228","H2228","SNG"
"CELL_000218",13924,1861,32210,21187,758,0,2466,3993,9701,0.8887743522433,0.934644949340326,"FALSE","H1975","H2228","DBL"
"CELL_000219",14305,1294,45098,7276,1212,0,2588,4562,14145,0.83937787144618,0.92612164996702,"FALSE","H2228","H2228","SNG"
"CELL_000220",15371,1683,36401,15377,829,0,1343,4418,11537,0.86538961526793,0.914968436362628,"FALSE","H1975","HCC827","DBL"
"CELL_000221",16040,1023,45785,4204,1295,0,1323,4591,14938,0.839804524809342,0.894697486479123,"FALSE","H1975","H1975","SNG"
"CELL_000222",16020,1079,43638,6349,1186,0,2431,4472,13607,0.821268464157222,0.901814579396943,"FALSE","H1975","H1975","SNG"
"CELL_000225",14439,1715,31850,18519,741,0,988,4178,10599,0.872629492525116,0.943389995858104,"FALSE","H1975","H1975","SNG"
"CELL_000227",16857,999,41545,4740,1275,0,2925,4501,14391,0.819470501827899,0.887290051219477,"FALSE","H1975","H1975","SNG"
"CELL_000228",13402,1539,30890,18496,784,0,995,3939,9502,0.86718585469671,0.918226775177041,"FALSE","H1975","H2228","DBL"
"CELL_000229",15743,777,40538,5220,1199,0,1692,4283,13074,0.841517515036318,0.885650232790093,"FALSE","H1975","H1975","SNG"
"CELL_000230",13274,1526,29398,18784,686,0,1037,3968,9583,0.877700093000417,0.929770500082959,"FALSE","H1975","H1975","SNG"
"CELL_000231",15478,1039,36689,9628,1082,0,1077,4075,11341,0.849395996076716,0.886693513187979,"FALSE","H1975","H1975","DBL"
"CELL_000233",15004,917,40856,3858,1422,0,1118,4277,13058,0.835962627633663,0.881910796514936,"FALSE","H1975","H1975","SNG"
"CELL_000237",15675,1146,35615,7289,907,0,612,4059,12103,0.870858464123888,0.889530786143282,"FALSE","H1975","H1975","SNG"
"CELL_000238",15555,1113,39211,5602,1075,0,813,4517,13519,0.855314741581985,0.890597758267802,"FALSE","H1975","H1975","SNG"
"CELL_000246",13325,1080,38610,6055,988,0,619,4151,12420,0.849194846337202,0.914653047783375,"FALSE","H2228","H2228","SNG"
"CELL_000249",13311,969,36887,5491,1120,0,1408,4297,12120,0.864851484434941,0.916995943072654,"FALSE","H1975","H1975","SNG"
"CELL_000302",9483,547,27901,3293,719,0,1278,3194,8557,0.851583497894609,0.905690188512109,"FALSE","HCC827","HCC827","SNG"
